State,Total Damage (Million $),
AK,35.85,
AL,315.47,
AM,0,
AN,0.01,
AR,315.21,
AS,0.92,
AZ,3.95,
CA,41.49,
CO,325.98,
CT,56.4,
DC,0.56,
DE,0,
FL,451.33,
GA,33.96,
GM,0.5,
GU,0.14,
HI,30.94,
IA,24.96,
ID,6.57,
IL,49.46,
IN,8.62,
KS,31.52,
KY,28.66,
LA,"14,667.28",
LC,0,
LE,1,
LH,0,
LM,0,
LO,0.03,
LS,0,
MA,32.24,
MD,10.05,
ME,19.23,
MI,276.98,
MN,24.01,
MO,24.78,
MS,272.27,
MT,3.17,
NC,79.9,
ND,7.71,
NE,31.27,
NH,63.96,
NJ,1.55,
NM,4.46,
NV,0.44,
NY,70.93,
OH,28.8,
OK,18.7,
OR,"3,671.66",
PA,13.16,
PH,0,
PR,13.34,
PZ,0,
RI,0.29,
SC,125.06,
SD,12.34,
SL,0,
TN,"1,637.26",
TX,"2,953.60",
UT,13.99,
VA,41.39,
VI,0,
VT,1.92,
WA,"1,340.80",
WI,79.54,
WV,5.62,
WY,0.03,
,,
,,"Total= 27,311.25"
